title,author,year,day_in_year,pubdate,genre,country,in_links,article_length,page_url
The Mysterious Mr Quin,Agatha Christie,1930,104,14 April 1930,Detective fiction,United Kingdom,201,13329,https://en.wikipedia.org/wiki/The_Mysterious_Mr_Quin
Partners in Crime,Agatha Christie,1929,28,1929,Detective fiction; Short stories,United States,295,14245,https://en.wikipedia.org/wiki/Partners_in_Crime_(short_story_collection)
The Diamond Brothers,Anthony Horowitz,1986,1,1986–present,"Detective novel; ,; thriller; (Adventure, action)",United Kingdom (UK),205,4220,https://en.wikipedia.org/wiki/The_Diamond_Brothers
Doctor Dolittle's Puddleby Adventures,Hugh Lofting,1952,28,1952,"Animal fantasy, short story collection",United Kingdom,31,1479,https://en.wikipedia.org/wiki/Doctor_Dolittle%27s_Puddleby_Adventures
Gub Gub's Book: An Encyclopedia of Food,Hugh Lofting,1932,28,1932,"Fantasy; ,; children's novel",United States,32,1406,https://en.wikipedia.org/wiki/Gub_Gub%27s_Book
The Story of Doctor Dolittle,Hugh Lofting,2002,298,"October 25, 1920|[2]","Fantasy; ,; children's novel",United States,59,1862,https://en.wikipedia.org/wiki/The_Story_of_Doctor_Dolittle
The Tales of Beedle the Bard,J. K. Rowling,2008,339,4 December 2008 (public edition),Fantasy,,363,8477,https://en.wikipedia.org/wiki/The_Tales_of_Beedle_the_Bard
The Adventure of the Christmas Pudding,Agatha Christie,1960,298,24 October 1960,Crime novel,United Kingdom,342,12794,https://en.wikipedia.org/wiki/The_Adventure_of_the_Christmas_Pudding
Double Sin and Other Stories,Agatha Christie,1961,28,1961,Detective fiction; short stories,United Kingdom; United States,223,4218,https://en.wikipedia.org/wiki/Double_Sin_and_Other_Stories
Miss Marple's Final Cases and Two Other Stories,Agatha Christie,1979,301,October 1979,Detective fiction; Short stories,United Kingdom,195,3781,https://en.wikipedia.org/wiki/Miss_Marple%27s_Final_Cases_and_Two_Other_Stories
The Regatta Mystery and Other Stories,Agatha Christie,1939,28,1939,Crime Short Stories,United Kingdom; United States,228,5070,https://en.wikipedia.org/wiki/The_Regatta_Mystery
The Thirteen Problems,Agatha Christie,1932,180,June 1932,Detective fiction; Short stories,United Kingdom,316,13352,https://en.wikipedia.org/wiki/The_Thirteen_Problems
Three Blind Mice and Other Stories,Agatha Christie,1950,28,1950,Detective fiction; short stories,United Kingdom; United States,231,5986,https://en.wikipedia.org/wiki/Three_Blind_Mice_and_Other_Stories
The Unspoken Name,A.K. Larkwood,2020,42,11 Feb 2020,"Fantasy; ,; Science fiction",,5,1189,https://en.wikipedia.org/wiki/The_Unspoken_Name
The Adventures of Tom Bombadil and Other Verses from the Red Book,J. R. R. Tolkien,2024,1,1962|[1],Poetry,United Kingdom,564,5938,https://en.wikipedia.org/wiki/The_Adventures_of_Tom_Bombadil
The Fall of Gondolin,J. R. R. Tolkien,2018,28,2018,High fantasy,United Kingdom,538,6006,https://en.wikipedia.org/wiki/The_Fall_of_Gondolin
Closed Casket,Sophie Hannah,2016,250,6 September 2016 |HarperCollins,"Detective; ,; mystery",United Kingdom,96,3308,https://en.wikipedia.org/wiki/Closed_Casket_(novel)
The Killings at Kingfisher Hill,Sophie Hannah,2020,233,"August 20, 2020",Mystery,United Kingdom,96,2255,https://en.wikipedia.org/wiki/The_Killings_at_Kingfisher_Hill
The Monogram Murders,Sophie Hannah,2014,252,"September 9, 2014 |HarperCollins",Mystery,United Kingdom,101,3487,https://en.wikipedia.org/wiki/The_Monogram_Murders
The Mystery of Three Quarters,Sophie Hannah,2018,235,"August 23, 2018 |HarperCollins","Detective; ,; mystery",United Kingdom,93,2397,https://en.wikipedia.org/wiki/The_Mystery_of_Three_Quarters
The Harlequin Tea Set,Agatha Christie,1997,104,14 April 1997,Detective fiction; short stories,United Kingdom; United States,200,3419,https://en.wikipedia.org/wiki/The_Harlequin_Tea_Set
The Labours of Hercules,Agatha Christie,1947,28,1947,Crime novel,United Kingdom; United States,382,14898,https://en.wikipedia.org/wiki/The_Labours_of_Hercules
Murder in the Mews,Agatha Christie,1937,74,15 March 1937,Detective fiction; Short stories,United Kingdom,220,9052,https://en.wikipedia.org/wiki/Murder_in_the_Mews
Poirot Investigates,Agatha Christie,1924,88,March 1924,Detective fiction,United Kingdom,240,12279,https://en.wikipedia.org/wiki/Poirot_Investigates
Poirot's Early Cases,Agatha Christie,1974,271,September 1974,Crime novel,United Kingdom,264,11364,https://en.wikipedia.org/wiki/Poirot%27s_Early_Cases
Problem at Pollensa Bay and Other Stories,Agatha Christie,1991,332,November 1991,Crime novel,United Kingdom,206,3657,https://en.wikipedia.org/wiki/Problem_at_Pollensa_Bay_and_Other_Stories
The Under Dog and Other Stories,Agatha Christie,1951,28,1951,Detective fiction; short story,United Kingdom,209,3793,https://en.wikipedia.org/wiki/The_Under_Dog_and_Other_Stories
While the Light Lasts and Other Stories,Agatha Christie,1997,216,4 August 1997,Crime novel,United Kingdom,203,3973,https://en.wikipedia.org/wiki/While_the_Light_Lasts_and_Other_Stories
The Witness for the Prosecution and Other Stories,Agatha Christie,1948,28,1948,Detective fiction; short story,United Kingdom; United States,207,3605,https://en.wikipedia.org/wiki/The_Witness_for_the_Prosecution_and_Other_Stories
The Dalek Factor,Simon Clark,2004,88,March 2004,,,463,5210,https://en.wikipedia.org/wiki/The_Dalek_Factor
The Dalek Generation,Nicholas Briggs,2013,101,11 April 2013,,,508,6861,https://en.wikipedia.org/wiki/The_Dalek_Generation
Engines of War,George Mann,2014,212,31 July 2014,,,492,6762,https://en.wikipedia.org/wiki/Engines_of_War
I Am a Dalek,Gareth Roberts,2006,138,18 May 2006,,,534,8114,https://en.wikipedia.org/wiki/I_am_a_Dalek
Prisoner of the Daleks,Trevor Baxendale,2009,1,2 April 2009| (|2009-04-02|),,,517,9239,https://en.wikipedia.org/wiki/Prisoner_of_the_Daleks
The Albino's Dancer,Dale Smith,2006,166,15 June 2006,,,14,1134,https://en.wikipedia.org/wiki/The_Albino%27s_Dancer
Blood and Hope,Iain McLaughlin,2004,59,February 2004,,,430,4776,https://en.wikipedia.org/wiki/Blood_and_Hope
The Cabinet of Light,Daniel O'Mahony,2003,209,July 2003,,,373,4384,https://en.wikipedia.org/wiki/The_Cabinet_of_Light
Citadel of Dreams,Dave Stone,2002,87,March 2002,,,425,5191,https://en.wikipedia.org/wiki/Citadel_of_Dreams
Code of the Krillitanes,Justin Richards,2010,63,4 March 2010,,,431,5058,https://en.wikipedia.org/wiki/Code_of_the_Krillitanes
Companion Piece,Robert Perry; and; Mike Tucker,2003,362,December 2003,,,425,5185,https://en.wikipedia.org/wiki/Companion_Piece
The Eye of the Tyger,Paul J. McAuley,2003,332,November 2003,,,391,4735,https://en.wikipedia.org/wiki/The_Eye_of_the_Tyger
Fallen Gods,Jonathan Blum; and; Kate Orman,2003,240,August 2003,,,395,5076,https://en.wikipedia.org/wiki/Fallen_Gods_(novella)
Foreign Devils,Andrew Cartmel,2002,332,November 2002,,,409,5052,https://en.wikipedia.org/wiki/Foreign_Devils_(novella)
Frayed,Tara Samms; (pseudonym for; Stephen Cole; ),2003,301,October 2003,,,412,4863,https://en.wikipedia.org/wiki/Frayed_(novella)
Ghost Ship,Keith Topping,2002,240,August 2002,,,432,4857,https://en.wikipedia.org/wiki/Ghost_Ship_(novella)
Made of Steel,Terrance Dicks,2007,60,1 March 2007,,,487,6778,https://en.wikipedia.org/wiki/Made_of_Steel_(novella)
Nightdreamers,Tom Arden,2002,148,May 2002,,,402,4720,https://en.wikipedia.org/wiki/Nightdreamers
Rip Tide,Louise Cooper,2003,28,January 2003,,,391,4534,https://en.wikipedia.org/wiki/Rip_Tide_(novella)
Shell Shock,Simon A. Forward,2003,170,19 June 2003,,,434,5389,https://en.wikipedia.org/wiki/Shell_Shock_(novella)
The Sontaran Games,Jacqueline Rayner,2009,57,26 February 2009,,,456,5360,https://en.wikipedia.org/wiki/The_Sontaran_Games
Time and Relative,Kim Newman,2001,332,November 2001,,,419,4453,https://en.wikipedia.org/wiki/Time_and_Relative
Wonderland,Mark Chadbourn,2003,118,April 2003,,,401,4389,https://en.wikipedia.org/wiki/Wonderland_(novella)
Flashman on the March,George MacDonald Fraser,2005,28,2005,Historical novel,United Kingdom,53,1990,https://en.wikipedia.org/wiki/Flashman_on_the_March
Edge of Eternity,Ken Follett,2014,259,16 September 2014,Historical fiction,United Kingdom,122,3594,https://en.wikipedia.org/wiki/Edge_of_Eternity_(novel)
Fall of Giants,Ken Follett,2010,271,2010-09-28,Historical Novel,United Kingdom,64,2041,https://en.wikipedia.org/wiki/Fall_of_Giants
Never,Ken Follett,2021,313,9 November 2021 (Macmilan),Thriller,United Kingdom,27,1462,https://en.wikipedia.org/wiki/Never_(novel)
Winter of the World,Ken Follett,2012,262,18 September 2012,Historical fiction,United Kingdom,45,2720,https://en.wikipedia.org/wiki/Winter_of_the_World
World Without End,Ken Follett,2007,282,9 October 2007 (|Penguin|) (US edition),Historical fiction,United Kingdom,54,7026,https://en.wikipedia.org/wiki/World_Without_End_(Follett_novel)
A Ghost in the Machine,Caroline Graham,2004,214,1 August 2004,Detective fiction,United Kingdom,28,1410,https://en.wikipedia.org/wiki/A_Ghost_in_the_Machine
In High Places,Arthur Hailey,1962,28,1962,Political fiction,Canada,22,1427,https://en.wikipedia.org/wiki/In_High_Places_(Hailey_novel)
"Author, Author",David Lodge,2004,281,"October 7, 2004",,United Kingdom,30,1421,"https://en.wikipedia.org/wiki/Author,_Author_(novel)"
Thinks ...,David Lodge,2001,28,2001,,United Kingdom,38,1421,https://en.wikipedia.org/wiki/Thinks_...
Learning the World:A Scientific Romance,Ken MacLeod,2005,28,2005,Science fiction,United Kingdom,46,2127,https://en.wikipedia.org/wiki/Learning_the_World
Newton's Wake: A Space Opera,Ken MacLeod,2004,28,2004,Science fiction,United Kingdom,13,726,https://en.wikipedia.org/wiki/Newton%27s_Wake:_A_Space_Opera
The Restoration Game,Ken MacLeod,2010,28,2010,science fiction/; techno-thriller; novel,,12,745,https://en.wikipedia.org/wiki/The_Restoration_Game
The Dark Remains,William McIlvanney; &; Ian Rankin,2021,28,2021,,,62,2106,https://en.wikipedia.org/wiki/The_Dark_Remains_(novel)
Cobra Trap,Peter O'Donnell,1996,28,1996,Spy fiction,United Kingdom,29,1381,https://en.wikipedia.org/wiki/Cobra_Trap
Pieces of Modesty,Peter O'Donnell,1972,28,1972,Spy fiction,United Kingdom,25,1230,https://en.wikipedia.org/wiki/Pieces_of_Modesty
The Reavers,George MacDonald Fraser,2007,28,2007,,United Kingdom,46,1013,https://en.wikipedia.org/wiki/The_Reavers
Big Sky,Kate Atkinson,2019,28,2019,,United Kingdom,24,1464,https://en.wikipedia.org/wiki/Big_Sky_(novel)
Case Histories,Kate Atkinson,2004,28,2004,Crime fiction,United Kingdom,40,3248,https://en.wikipedia.org/wiki/Case_Histories
A God in Ruins,Kate Atkinson,,1,"Doubleday| (UK)| |Little, Brown| (US)",Historical fiction,,27,3093,https://en.wikipedia.org/wiki/A_God_in_Ruins_(Atkinson_novel)
Life After Life,Kate Atkinson,2013,28,"2013 UK: Penguin Books. USA: (Reagan Arthur Books/Little, Brown and Company)",Historical fiction,United Kingdom,44,3710,https://en.wikipedia.org/wiki/Life_After_Life_(novel)
One Good Turn,Kate Atkinson,2006,28,2006,Crime Fiction,United Kingdom,23,1833,https://en.wikipedia.org/wiki/One_Good_Turn_(novel)
Shrines of Gaiety,Kate Atkinson,2022,28,2022,,United Kingdom,20,1340,https://en.wikipedia.org/wiki/Shrines_of_Gaiety
"Started Early, Took My Dog",Kate Atkinson,2010,231,19 Aug 2010,Crime fiction,United Kingdom,36,1572,"https://en.wikipedia.org/wiki/Started_Early,_Took_My_Dog"
Transcription,Kate Atkinson,2018,28,2018,,,34,2133,https://en.wikipedia.org/wiki/Transcription_(novel)
When Will There Be Good News?,Kate Atkinson,2008,241,Aug 2008,Crime Fiction,United Kingdom,29,2296,https://en.wikipedia.org/wiki/When_Will_There_Be_Good_News%3F
The Alexandria Quartet,Lawrence Durrell,1962,28,1962,,Great Britain,97,1092,https://en.wikipedia.org/wiki/The_Alexandria_Quartet
The Avignon Quintet,Lawrence Durrell,1992,28,1992,Novel,Great Britain,25,1386,https://en.wikipedia.org/wiki/The_Avignon_Quintet
Death in Holy Orders,P. D. James,2001,28,2001,"Crime; ,; mystery",United Kingdom,52,1543,https://en.wikipedia.org/wiki/Death_in_Holy_Orders
The Lighthouse,P. D. James,2005,326,22 November 2005,"Crime; ,; Mystery",United Kingdom,30,1233,https://en.wikipedia.org/wiki/The_Lighthouse_(James_novel)
The Murder Room,P. D. James,2003,313,9 November |2003,"Crime; ,; mystery",United Kingdom,49,1507,https://en.wikipedia.org/wiki/The_Murder_Room
The Private Patient,P. D. James,2008,241,August 2008,"Crime; ,; Mystery",United Kingdom,32,1291,https://en.wikipedia.org/wiki/The_Private_Patient
The Complaints,Ian Rankin,2009,246,3 September 2009,Detective novel,Scotland,50,1779,https://en.wikipedia.org/wiki/The_Complaints
A Cool Head,Ian Rankin,2009,28,2009 (|Orion Press|),Crime Fiction,Scotland,46,1353,https://en.wikipedia.org/wiki/A_Cool_Head
Doors Open,Ian Rankin,2008,28,2008,Crime fiction,Scotland,65,1680,https://en.wikipedia.org/wiki/Doors_Open
The Impossible Dead,Ian Rankin,2011,286,13 October 2011,Detective novel,United Kingdom,49,1830,https://en.wikipedia.org/wiki/The_Impossible_Dead
Even Dogs in the Wild,Ian Rankin,2015,309,5 November 2015,Detective fiction,Scotland,58,1891,https://en.wikipedia.org/wiki/Even_Dogs_in_the_Wild
Exit Music,Ian Rankin,2007,249,6 September 2007,Detective novel,Scotland,66,2744,https://en.wikipedia.org/wiki/Exit_Music
The Falls,Ian Rankin,2001,28,2001,Detective fiction,Scotland,60,2358,https://en.wikipedia.org/wiki/The_Falls_(Rankin_novel)
Fleshmarket Close,Ian Rankin,2004,28,2004,Detective fiction,Scotland,62,1990,https://en.wikipedia.org/wiki/Fleshmarket_Close
A Heart Full of Headstones,Ian Rankin,2022,291,18 October 2022,Detective fiction,Scotland,53,2711,https://en.wikipedia.org/wiki/A_Heart_Full_of_Headstones
In a House of Lies,Ian Rankin,2018,301,October 2018,Detective fiction,Scotland,56,2676,https://en.wikipedia.org/wiki/In_a_House_of_Lies
The Naming of the Dead,Ian Rankin,2006,28,2006,Detective fiction,Scotland,63,2694,https://en.wikipedia.org/wiki/The_Naming_of_the_Dead
A Question of Blood,Ian Rankin,2003,28,2003,Detective fiction,Scotland,65,2218,https://en.wikipedia.org/wiki/A_Question_of_Blood
Rather Be the Devil,Ian Rankin,2016,308,3 November 2016,Detective fiction,Scotland,56,2071,https://en.wikipedia.org/wiki/Rather_Be_the_Devil
Resurrection Men,Ian Rankin,2002,28,2002,Detective fiction,Scotland,62,2299,https://en.wikipedia.org/wiki/Resurrection_Men
Saints of the Shadow Bible,Ian Rankin,2013,311,7 November 2013,Detective fiction,Scotland,53,2426,https://en.wikipedia.org/wiki/Saints_of_the_Shadow_Bible
A Song for the Dark Times,Ian Rankin,2020,275,1 October 2020,Detective fiction,Scotland,55,2211,https://en.wikipedia.org/wiki/A_Song_for_the_Dark_Times
Standing in Another Man's Grave,Ian Rankin,2012,28,2012,Detective fiction,Scotland,60,2178,https://en.wikipedia.org/wiki/Standing_in_Another_Man%27s_Grave
The Warrior Who Carried Life,Geoff Ryman,1985,28,1985,,,43,4331,https://en.wikipedia.org/wiki/Geoff_Ryman_bibliography
"Air: Or, Have Not Have",Geoff Ryman,2004,302,October 2004,Science fiction; novel,United Kingdom,147,3590,https://en.wikipedia.org/wiki/Air_(novel)
The King's Last Song,Geoff Ryman,2006,28,2006,Novel,Canada/United Kingdom,20,1084,https://en.wikipedia.org/wiki/The_King%27s_Last_Song
Swallows and Amazons,Arthur Ransome,1988,28,1930–1988,"Children's literature; ,; Adventure fiction",United Kingdom,142,4785,https://en.wikipedia.org/wiki/Swallows_and_Amazons_series
Among Others,Jo Walton,2011,18,18 January 2011,Fantasy literature,United States,232,5339,https://en.wikipedia.org/wiki/Among_Others
Farthing,Jo Walton,2006,220,8 August 2006,Alternate history,United States,43,2564,https://en.wikipedia.org/wiki/Farthing_(novel)
Ha'penny,Jo Walton,2007,275,"October 2, 2007",Alternate history novel,United States,66,2487,https://en.wikipedia.org/wiki/Ha%27penny_(novel)
Half a Crown,Jo Walton,2008,274,"September 30, 2008",Alternate history novel,United States,34,1643,https://en.wikipedia.org/wiki/Half_a_Crown_(novel)
The Just City,Jo Walton,2015,28,January 2015,Fantasy,United States,29,1382,https://en.wikipedia.org/wiki/The_Just_City
The King's Name,Jo Walton,2001,335,December 2001 (1st edition),Fantasy,United States,31,1177,https://en.wikipedia.org/wiki/The_King%27s_Name
Lent,Jo Walton,2019,148,28 May 2019,Historical fantasy,United States,25,1550,https://en.wikipedia.org/wiki/Lent_(novel)
My Real Children,Jo Walton,2014,140,"May 20, 2014","Fantasy literature; ,; alternate history",United States,76,2649,https://en.wikipedia.org/wiki/My_Real_Children
Necessity,Jo Walton,2016,28,2016,fantasy / science fiction,,21,1438,https://en.wikipedia.org/wiki/Necessity_(novel)
The Philosopher Kings,Jo Walton,2015,179,June 2015,Fantasy,United States,23,1403,https://en.wikipedia.org/wiki/The_Philosopher_Kings_(novel)
The Prize in the Game,Jo Walton,2002,335,December 2002 (1st edition),Fantasy,United States,20,1202,https://en.wikipedia.org/wiki/The_Prize_in_the_Game
Tooth and Claw,Jo Walton,2003,1,"November 1, 2003 (1st edition)",Fantasy,United States,118,3119,https://en.wikipedia.org/wiki/Tooth_and_Claw_(novel)
A Dream of Eagles,Jack Whyte,1992,1,1992 - 2005,Historical novels,Canada,36,1384,https://en.wikipedia.org/wiki/A_Dream_of_Eagles
The Eagle,Jack Whyte,2005,28,2005,Historical novel,Canada,24,1203,https://en.wikipedia.org/wiki/The_Eagle_(novel)
The Saxon Shore,Jack Whyte,1995,28,1995,Historical novel,Canada,33,3351,https://en.wikipedia.org/wiki/The_Saxon_Shore
Bachelors Anonymous,P. G. Wodehouse,1973,1,15 October 1973 (UK)|28 August 1974 (US),Comic novel,United Kingdom,193,3461,https://en.wikipedia.org/wiki/Bachelors_Anonymous
A Damsel in Distress,P. G. Wodehouse,1919,1,4 October 1919 (US)|15 October 1919 (UK),Comic novel,,206,3717,https://en.wikipedia.org/wiki/A_Damsel_in_Distress_(novel)
Full Moon,P. G. Wodehouse,1947,1,22 May 1947 (US)|17 Oct 1947 (UK),Comedy novel,United States,219,4116,https://en.wikipedia.org/wiki/Full_Moon_(novel)
Jeeves in the Offing,P. G. Wodehouse,1960,95,4 April 1960,Comic novel,United States,259,5746,https://en.wikipedia.org/wiki/Jeeves_in_the_Offing
Jill the Reckless,P. G. Wodehouse,1921,28,"1920|(US), 1921 (UK)",Comic novel,United States,199,2460,https://en.wikipedia.org/wiki/Jill_the_Reckless
Pigs Have Wings,P. G. Wodehouse,1952,1,16 October 1952 (US)|31 October 1952 (UK),Comic novel,United Kingdom,220,4056,https://en.wikipedia.org/wiki/Pigs_Have_Wings
Service with a Smile,P. G. Wodehouse,1961,1,15 October 1961 (US)|17 August 1962 (UK),Comic novel,United States,219,4175,https://en.wikipedia.org/wiki/Service_with_a_Smile
Uncle Fred in the Springtime,P. G. Wodehouse,1939,1,18 August 1939 (US)|25 August 1939 (UK),Comic novel,United States,219,4786,https://en.wikipedia.org/wiki/Uncle_Fred_in_the_Springtime
The Butterfly Hunter,Max Malik,,1,To be confirmed,Novel,United Kingdom,10,930,https://en.wikipedia.org/wiki/The_Butterfly_Hunter
A Capitol Death,Lindsey Davis,2019,94,4 April 2019,"historical fiction; ,; crime fiction",UK,44,1430,https://en.wikipedia.org/wiki/A_Capitol_Death
Car-Jacked,Ali Sparkes,2015,139,19 May 2015,Novel,United Kingdom,12,1625,https://en.wikipedia.org/wiki/Car-Jacked_(novel)
Children of the Red King,Jenny Nimmo,2002,1,2002–current,"Children's; fantasy; novels,; school stories",United Kingdom,134,5152,https://en.wikipedia.org/wiki/Children_of_the_Red_King
A Comedy of Terrors,Lindsey Davis,2021,91,1 April 2021,"historical fiction; ,; crime fiction",UK,42,1360,https://en.wikipedia.org/wiki/A_Comedy_of_Terrors
Desperate Undertaking,Lindsey Davis,2022,97,7 April 2022,"historical fiction; ,; crime fiction",UK,39,1457,https://en.wikipedia.org/wiki/Desperate_Undertaking
Dot.Robot,Jason Bradbury,2009,36,5 February 2009,"Children's; ,; Thriller fiction",United Kingdom,9,1250,https://en.wikipedia.org/wiki/Dot.Robot_Series
Emily Windsnap,Liz Kessler,2003,1,2003–present,Fiction,United Kingdom,46,1640,https://en.wikipedia.org/wiki/Emily_Windsnap
Fatal Legacy,Lindsey Davis,2023,96,6 April 2023,"historical fiction; ,; crime fiction",UK,42,1383,https://en.wikipedia.org/wiki/Fatal_Legacy
The Grove of the Caesars,Lindsey Davis,2020,93,2 April 2020,"historical fiction; ,; crime fiction",UK,41,1405,https://en.wikipedia.org/wiki/The_Grove_of_the_Caesars
Pandora's Boy,Lindsey Davis,2018,95,5 April 2018,"historical fiction; ,; crime fiction",UK,41,1423,https://en.wikipedia.org/wiki/Pandora%27s_Boy
The Pirates!,Gideon Defoe,2004,1,2004-2012,Comedy; Historical fiction,United Kingdom,87,2264,https://en.wikipedia.org/wiki/The_Pirates!
Time Runners,Justin Richards,2007,1,March 2007 — August 2008,"Fantasy; ,; young adult fiction; ,; thriller",United Kingdom,7,1229,https://en.wikipedia.org/wiki/Time_Runners
According to Queeney,Beryl Bainbridge,2001,249,6 Sep 2001,,England,28,1661,https://en.wikipedia.org/wiki/According_to_Queeney
The Adventuress of Henrietta Street,Lawrence Miles,2001,332,November 2001,,,461,5842,https://en.wikipedia.org/wiki/The_Adventuress_of_Henrietta_Street
Albertine,Jacqueline Rose,2001,28,2001,Novel,United Kingdom,15,791,https://en.wikipedia.org/wiki/Albertine_(Rose_novel)
Amaryllis Night and Day,Russell Hoban,2001,28,2001,"Romance novel; ,; speculative fiction",Great Britain,7,1304,https://en.wikipedia.org/wiki/Amaryllis_Night_and_Day
The Amazing Maurice and His Educated Rodents,Terry Pratchett,2001,305,1 November 2001,Fantasy,,225,5873,https://en.wikipedia.org/wiki/The_Amazing_Maurice_and_His_Educated_Rodents
American Gods,Neil Gaiman,2001,170,19 June 2001,Fantasy,United Kingdom,589,12201,https://en.wikipedia.org/wiki/American_Gods
Asylum,Peter Darvill-Evans,2001,148,May 2001,,,439,4877,https://en.wikipedia.org/wiki/Asylum_(Darvill-Evans_novel)
Atonement,Ian McEwan,2001,28,2001,,United Kingdom,148,6031,https://en.wikipedia.org/wiki/Atonement_(novel)
A Big Boy Did It and Ran Away,Christopher Brookmyre,2001,28,"2001 (|Little Brown|, London)","Satire; ,; Crime; ,; Detective; ,; black humour",United Kingdom,15,1085,https://en.wikipedia.org/wiki/A_Big_Boy_Did_It_and_Ran_Away
The Biographer's Tale,A. S. Byatt,2001,305,1 November 2001,,United Kingdom,9,933,https://en.wikipedia.org/wiki/The_Biographer%27s_Tale
A Body in the Bath House,Lindsey Davis,2001,28,2001,Historical fiction; crime novel,United Kingdom,48,1935,https://en.wikipedia.org/wiki/A_Body_in_the_Bath_House
Bold As Love,Gwyneth Jones,2001,28,2001,Science fiction,United Kingdom,46,1672,https://en.wikipedia.org/wiki/Bold_as_Love_(novel)
Boyracers,Alan Bissett,2001,28,2001,Coming-of-age novel,Scotland,6,1181,https://en.wikipedia.org/wiki/Boyracers
Bullet Time,David A. McIntee,2001,240,August 2001,,,427,5357,https://en.wikipedia.org/wiki/Bullet_Time_(novel)
Bunker Soldiers,Martin Day,2001,59,February 2001,,,417,4764,https://en.wikipedia.org/wiki/Bunker_Soldiers
Byzantium!,Keith Topping,2001,209,July 2001,,,415,4754,https://en.wikipedia.org/wiki/Byzantium!
Castaways of the Flying Dutchman,Brian Jacques,2001,28,2001,Fantasy novel,United States,869,5362,https://en.wikipedia.org/wiki/Castaways_of_the_Flying_Dutchman
Chasm City,Alastair Reynolds,2001,28,2001,Science fiction,United Kingdom,99,2241,https://en.wikipedia.org/wiki/Chasm_City
The City of the Dead,Lloyd Rose,2001,271,September 2001,,,391,4486,https://en.wikipedia.org/wiki/The_City_of_the_Dead_(novel)
Compulsion,Shaun Hutson,2001,28,2001,Horror novel,United Kingdom,4,1120,https://en.wikipedia.org/wiki/Compulsion_(Hutson_novel)
The Confessions of Mycroft Holmes: A Paper Chase,Marcel Theroux,2001,28,2001,Mystery novel,United Kingdom,13,855,https://en.wikipedia.org/wiki/The_Confessions_of_Mycroft_Holmes:_A_Paper_Chase
The Constant Gardener,John le Carré,2001,4,4 January 2001,,United Kingdom,130,1838,https://en.wikipedia.org/wiki/The_Constant_Gardener
Crystal Mask,Katherine Roberts,2001,213,"August 1, 2001",Fantasy,United Kingdom,15,5622,https://en.wikipedia.org/wiki/Crystal_Mask
Dead Famous,Ben Elton,2001,28,2001,"Mystery; ,; Comedy",United Kingdom,56,2340,https://en.wikipedia.org/wiki/Dead_Famous_(novel)
deadkidsongs,Toby Litt,2001,28,2001,black comedy,United Kingdom,8,896,https://en.wikipedia.org/wiki/Deadkidsongs
Decipher,Stel Pavlou,2001,28,2001,"Religion; ,; thriller; ,; mystery; ,; speculative fiction",United Kingdom,18,1554,https://en.wikipedia.org/wiki/Decipher_(novel)
Dustbin Baby,Jacqueline Wilson,2001,274,1 October 2001,Adopted Children - Juvenile Fiction; Mothers and Daughters - Juvenile Fiction; Children's Stories,United Kingdom,85,1677,https://en.wikipedia.org/wiki/Dustbin_Baby
Dying in the Sun,Jon de Burgh Miller,2001,274,1 October 2001,,,401,4847,https://en.wikipedia.org/wiki/Dying_in_the_Sun
The Eagle's Conquest,Simon Scarrow,2001,214,2 August 2001,Historical novel,United Kingdom,38,2273,https://en.wikipedia.org/wiki/The_Eagle%27s_Conquest
The Earthquake Bird,Susanna Jones,2001,28,2001,,United Kingdom,16,1216,https://en.wikipedia.org/wiki/The_Earthquake_Bird
EarthWorld,Jacqueline Rayner,2001,87,March 2001,,,389,4945,https://en.wikipedia.org/wiki/EarthWorld
Eater of Wasps,Trevor Baxendale,2001,148,May 2001,,,394,4926,https://en.wikipedia.org/wiki/Eater_of_Wasps
Echo Burning,Lee Child,2001,1,UK: 2 April 2001 |US: 25 June 2001 |[1],Thriller novel,United Kingdom,59,1859,https://en.wikipedia.org/wiki/Echo_Burning
The Element of Water,Stevie Davies,2001,28,2001,,,10,758,https://en.wikipedia.org/wiki/The_Element_of_Water
The Emperor's Babe,Bernardine Evaristo,2001,1,"January 2001 (UK), April 2002 (USA)",,United Kingdom,6,788,https://en.wikipedia.org/wiki/The_Emperor%27s_Babe
Escape Velocity,Colin Brake,2001,59,February 2001,,,398,6026,https://en.wikipedia.org/wiki/Escape_Velocity_(novel)
Fallen Dragon,Peter F. Hamilton,2001,28,2001,Science fiction,United Kingdom,30,2543,https://en.wikipedia.org/wiki/Fallen_Dragon
Father Time,Lance Parkin,2001,28,January 2001,,,401,4944,https://en.wikipedia.org/wiki/Father_Time_(novel)
Finding myself,Toby Litt,2003,28,2003,postmodern,United Kingdom,8,1030,https://en.wikipedia.org/wiki/Finding_Myself
The Fire Within,Chris D'Lacey,2001,28,2001,Fantasy novel,United Kingdom,29,839,https://en.wikipedia.org/wiki/The_Fire_Within_(novel)
Five Quarters of the Orange,Joanne Harris,2001,28,2001,Historical fiction,United Kingdom,12,1811,https://en.wikipedia.org/wiki/Five_Quarters_of_the_Orange
Flatterland,Ian Stewart,2001,28,2001,"Popular science; ,; geometry",United Kingdom,37,1817,https://en.wikipedia.org/wiki/Flatterland
